Year,Month,Day,Nationality,Vessel Type,Name of Vessel,Where From,Where Bound,Cargo 1,Cargo 2,Cargo 3,Cargo 4,Direction,LAC Image #
1854,April,20,American,Schooner,Utica,Oswego,Port Burwell,No Cargo,,,,Upbound,IMG_4357.jpg
1854,April,20,American,Schooner,T. Wiman,Oswego,Port Burwell,No Cargo,,,,Upbound,IMG_4357.jpg
1854,April,20,American,Barkentine,Danube,Oswego,Chicago,Salt,,,,Upbound,IMG_4357.jpg
1854,April,20,American,Brigantine,Mahoning,Oswego,Toledo,No Cargo,,,,Upbound,IMG_4357.jpg
1854,April,20,American,Schooner,New World,Port Burwell,Oswego,Lumber,,,,Downbound,IMG_4358.jpg
1854,April,21,British,Schooner,Conductor,Mersea,Kingston,Staves,,,,Downbound,IMG_4360.jpg
1854,April,21,American,Brigantine,Concord,Cleveland,Montreal,Corn,Pork,Flour,Lard,Downbound,IMG_4358.jpg
1854,April,21,American,Schooner,Speedwell,Cleveland,Montreal,Corn,Pork,,,Downbound,IMG_4358.jpg
1854,April,21,American,Schooner,E. M. Lyon,Cleveland,Ogdensburg,Pork,Flour,Lard,,Downbound,IMG_4358.jpg
1854,April,21,American,Schooner,A.L. Hoselton,Cleveland,Oswego,Pork,Beef,,,Downbound,IMG_4358.jpg
1854,April,21,American,Schooner,Henry Clay,Port Dover,Oswego,Lumber,,,,Downbound,IMG_4358.jpg
1854,April,21,American,Schooner,Toledo,Port Dover,Oswego,Lumber,,,,Downbound,IMG_4358.jpg
1854,April,21,American,Schooner,Missouri,Erie,Toronto,Coal,,,,Downbound,IMG_4358.jpg
1854,April,21,British,Barkentine,London,River St. Clair,Kingston,Timber,,,,Downbound,IMG_4360.jpg
1854,April,21,British,Schooner,Georgiana,Clear Creek,Kingston,Staves,,,,Downbound,IMG_4360.jpg
1854,April,21,British,Schooner,Leander,Cleveland,Kingston,Coal,,,,Downbound,IMG_4360.jpg
1854,April,21,British,Schooner,Caroline Marsh,Cleveland,Montreal,Corn,,,,Downbound,IMG_4360.jpg
1854,April,21,British,Schooner,Premier,Kingston,Cleveland,R.R. Iron,,,,Upbound,IMG_4357.jpg
1854,April,21,American,Schooner,Acorn,Oswego,Port Burwell,No Cargo,,,,Upbound,IMG_4357.jpg
1854,April,21,American,Schooner,Julia Smith,Wallaceburg,Montreal,Wheat,,,,Downbound,IMG_4358.jpg
1854,April,21,British,Barkentine,Ontario,Wallaceburg,Kingston,Timber,,,,Downbound,IMG_4360.jpg
1854,April,21,British,Barkentine,Empire,Wallaceburg,Kingston,Timber,,,,Downbound,IMG_4360.jpg
1854,April,22,American,Brigantine,Venice,Venice,Kingston,Flour,Fruit,,,Downbound,IMG_4360.jpg
1854,April,22,American,Schooner,Ino,Detroit,Oswego,Lumber, ,,,Downbound,IMG_4360.jpg
1854,April,22,American,Schooner,Omar,Cleveland,Oswego,Pork,Lard, ,,Downbound,IMG_4360.jpg
1854,April,22,American,Schooner,?Tamersil>,Cleveland,Toronto,Stone,Coal,Oil,,Downbound,IMG_4360.jpg
1854,April,22,British,Schooner ,Mary,Cleveland,St. Catharines,Corn,Coal,,,Downbound,IMG_4359.jpg
1854,April,22,British,Schooner,George Keefer,Erie,Toronto,Coal,,,,Downbound,IMG_4360.jpg
1854,April,22,British,Schooner,James Coleman,Sombra,Kingston,Staves,,,,Downbound,IMG_4360.jpg
1854,April,22,American,Propeller,Granite State,Ogdensburg,Chicago,Merchandise,Castings,,,Upbound,IMG_4357.jpg
1854,April,22,British,Schooner,Mary Frances,St. Catharines,Dunnville,No Cargo,,,,Upbound,IMG_4359.jpg
1854,April,22,British,Schooner,John Potter,Oakville,Buffalo,No Cargo,,,,Upbound,IMG_4359.jpg
1854,April,22,British,Schooner,Woodman,Kingston,Point Pelee,No Cargo,,,,Upbound,IMG_4359.jpg
1854,April,22,British,Schooner,Jenny Lind,Toronto,Dunnville,Whiskey,Merchandise,,,Upbound,IMG_4359.jpg
1854,April,22,American,Schooner,Charles Crook,Oswego,Port Burwell,No Cargo,,,,Upbound,IMG_4357.jpg
1854,April,22,American,Schooner,Albany,Oswego,Ashtabula,No Cargo,,,,Upbound,IMG_4357.jpg
1854,April,22,American,Propeller,Northern Michigan,Oswego,Detroit,Merchandise,,,,Upbound,IMG_4357.jpg
1854,April,22,American,Brigantine,Oxford,Oswego,Toledo,R.R. Iron,,,,Upbound,IMG_4357.jpg
1854,April,22,American,Brigantine,Manhattan,Port Burwell,Oswego,Lumber, ,,,Downbound,IMG_4360.jpg
1854,April,22,American,Barkentine,Hungarian,Toledo,Oswego,Pork,Lard,Beef,,Downbound,IMG_4360.jpg
